TraceFinder Compound Database Export,Schema Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,PEAK 1,,,,,,,,,,PEAK 2,,,,,,,,,,PEAK 3,,,,,,,,,,PEAK 4,,,,,,,,,,
CompoundName,ExperimentType,Compound Type,ChemicalFormula,Category,CAS,Ionization,ResponseThreshold,Internal Standard,Internal Standard Concentration,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp
Methylglyoxal,XIC,eTargetCompound,C3H4O2,,,ESI,5000,,0,,73.02841,M+H,+,1,0,120,,,,,95.01035,M+Na,+,1,0,60,,,,,90.05496,M+NH4,+,1,0,60,,,,,71.01385,M-H,-,1,0,60,,,
Propenoate; Acrylic acid,XIC,eTargetCompound,C3H4O2,,,ESI,5000,,0,,73.02841,M+H,+,1,0,120,,,,,95.01035,M+Na,+,1,0,60,,,,,90.05496,M+NH4,+,1,0,60,,,,,71.01385,M-H,-,1,0,60,,,
AM007_Malondialdehyde,XIC,eTargetCompound,,,,ESI,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0139,M-,-,1,13.25,60,,,
Butanal,XIC,eTargetCompound,C4H8O,,,ESI,5000,,0,,73.06479,M+H,+,1,0,120,,,,,95.04674,M+Na,+,1,0,60,,,,,90.09134,M+NH4,+,1,0,60,,,,,71.05024,M-H,-,1,0,60,,,
Methyl ethyl ketone,XIC,eTargetCompound,C4H8O,,,ESI,5000,,0,,73.06479,M+H,+,1,0,120,,,,,95.04674,M+Na,+,1,0,60,,,,,90.09134,M+NH4,+,1,0,60,,,,,71.05024,M-H,-,1,0,60,,,
Iminoglycine,XIC,eTargetCompound,C2H3NO2,,,ESI,5000,,0,,74.02365,M+H,+,1,0,120,,,,,96.0056,M+Na,+,1,0,60,,,,,91.0502,M+NH4,+,1,0,60,,,,,72.0091,M-H,-,1,0,60,,,
Acetone oxime,XIC,eTargetCompound,C3H7NO,,,ESI,5000,,0,,74.06004,M+H,+,1,0,120,,,,,96.04199,M+Na,+,1,0,60,,,,,91.08659,M+NH4,+,1,0,60,,,,,72.04549,M-H,-,1,0,60,,,
Aminoacetone,XIC,eTargetCompound,C3H7NO,,,ESI,5000,,0,,74.06004,M+H,+,1,0,120,,,,,96.04199,M+Na,+,1,0,60,,,,,91.08659,M+NH4,+,1,0,60,,,,,72.04549,M-H,-,1,0,60,,,
beta-Aminopropion aldehyde,XIC,eTargetCompound,C3H7NO,,,ESI,5000,,0,,74.06004,M+H,+,1,0,120,,,,,96.04199,M+Na,+,1,0,60,,,,,91.08659,M+NH4,+,1,0,60,,,,,72.04549,M-H,-,1,0,60,,,
"N,N-Dimethylformamide",XIC,eTargetCompound,C3H7NO,,,ESI,5000,,0,,74.06004,M+H,+,1,0,120,,,,,96.04199,M+Na,+,1,0,60,,,,,91.08659,M+NH4,+,1,0,60,,,,,72.04549,M-H,-,1,0,60,,,
Methylguanidine,XIC,eTargetCompound,C2H7N3,,,ESI,5000,,0,,74.07127,M+H,+,1,0,120,,,,,96.05322,M+Na,+,1,0,60,,,,,91.09782,M+NH4,+,1,0,60,,,,,72.05672,M-H,-,1,0,60,,,
2-Methylpropanamine,XIC,eTargetCompound,C4H11N,,,ESI,5000,,0,,74.09643,M+H,+,1,0,120,,,,,96.07837,M+Na,+,1,0,60,,,,,91.12298,M+NH4,+,1,0,60,,,,,72.08187,M-H,-,1,0,60,,,
AG001_Glyoxylate,XIC,eTargetCompound,C2H2O3,,,ESI,5000,,,,75.00767,M+H,+,1,0,120,,,,,96.98962,M+Na,+,1,0,60,,,,,92.03422,M+NH4,+,1,0,60,,,,,72.9931,M-,-,1,12.07,60,,,
Glyoxylate,XIC,eTargetCompound,C2H2O3,,,ESI,5000,,0,,75.00767,M+H,+,1,0,120,,,,,96.98962,M+Na,+,1,0,60,,,,,92.03422,M+NH4,+,1,0,60,,,,,72.99312,M-H,-,1,0,60,,,
(R)-Lactaldehyde,XIC,eTargetCompound,C3H6O2,,,ESI,5000,,0,,75.04406,M+H,+,1,0,120,,,,,97.026,M+Na,+,1,0,60,,,,,92.07061,M+NH4,+,1,0,60,,,,,73.0295,M-H,-,1,0,60,,,
