TraceFinder Compound Database Export,Schema Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,PEAK 1,,,,,,,,,,PEAK 2,,,,,,,,,,PEAK 3,,,,,,,,,,PEAK 4,,,,,,,,,,
CompoundName,ExperimentType,Compound Type,ChemicalFormula,Category,CAS,Ionization,ResponseThreshold,Internal Standard,Internal Standard Concentration,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp
BMP 26:4,,,C32H55O10P,,,,,,,,631.3605614,M+H,+,1,,,,,,,653.342503,M+Na,+,1,,,,,,,648.387108,M+NH4,+,1,,,,,,,629.3460085,M-H,-,1,,,,,
BMP 26:4;O,,,C32H55O11P,,,,,,,,647.3554761,M+H,+,1,,,,,,,669.3374176,M+Na,+,1,,,,,,,664.3820226,M+NH4,+,1,,,,,,,645.3409231,M-H,-,1,,,,,
BMP 26:5,,,C32H53O10P,,,,,,,,629.3449114,M+H,+,1,,,,,,,651.3268529,M+Na,+,1,,,,,,,646.3714579,M+NH4,+,1,,,,,,,627.3303584,M-H,-,1,,,,,
BMP 26:5;O,,,C32H53O11P,,,,,,,,645.339826,M+H,+,1,,,,,,,667.3217675,M+Na,+,1,,,,,,,662.3663725,M+NH4,+,1,,,,,,,643.3252731,M-H,-,1,,,,,
BMP 26:6,,,C32H51O10P,,,,,,,,627.3292613,M+H,+,1,,,,,,,649.3112028,M+Na,+,1,,,,,,,644.3558078,M+NH4,+,1,,,,,,,625.3147084,M-H,-,1,,,,,
BMP 26:6;O,,,C32H51O11P,,,,,,,,643.3241759,M+H,+,1,,,,,,,665.3061175,M+Na,+,1,,,,,,,660.3507225,M+NH4,+,1,,,,,,,641.309623,M-H,-,1,,,,,
BMP 26:7,,,C32H49O10P,,,,,,,,625.3136112,M+H,+,1,,,,,,,647.2955528,M+Na,+,1,,,,,,,642.3401578,M+NH4,+,1,,,,,,,623.2990583,M-H,-,1,,,,,
BMP 26:7;O,,,C32H49O11P,,,,,,,,641.3085259,M+H,+,1,,,,,,,663.2904674,M+Na,+,1,,,,,,,658.3350724,M+NH4,+,1,,,,,,,639.2939729,M-H,-,1,,,,,
BMP 28:0,,,C34H67O10P,,,,,,,,667.4544618,M+H,+,1,,,,,,,689.4364034,M+Na,+,1,,,,,,,684.4810084,M+NH4,+,1,,,,,,,665.4399089,M-H,-,1,,,,,
BMP 28:0;O,,,C34H67O11P,,,,,,,,683.4493764,M+H,+,1,,,,,,,705.431318,M+Na,+,1,,,,,,,700.475923,M+NH4,+,1,,,,,,,681.4348235,M-H,-,1,,,,,
BMP 28:1,,,C34H65O10P,,,,,,,,665.4388118,M+H,+,1,,,,,,,687.4207533,M+Na,+,1,,,,,,,682.4653583,M+NH4,+,1,,,,,,,663.4242588,M-H,-,1,,,,,
BMP 28:1;O,,,C34H65O11P,,,,,,,,681.4337264,M+H,+,1,,,,,,,703.4156679,M+Na,+,1,,,,,,,698.4602729,M+NH4,+,1,,,,,,,679.4191734,M-H,-,1,,,,,
BMP 28:2,,,C34H63O10P,,,,,,,,663.4231617,M+H,+,1,,,,,,,685.4051032,M+Na,+,1,,,,,,,680.4497082,M+NH4,+,1,,,,,,,661.4086088,M-H,-,1,,,,,
BMP 28:2;O,,,C34H63O11P,,,,,,,,679.4180763,M+H,+,1,,,,,,,701.4000178,M+Na,+,1,,,,,,,696.4446228,M+NH4,+,1,,,,,,,677.4035234,M-H,-,1,,,,,
BMP 28:3,,,C34H61O10P,,,,,,,,661.4075116,M+H,+,1,,,,,,,683.3894532,M+Na,+,1,,,,,,,678.4340582,M+NH4,+,1,,,,,,,659.3929587,M-H,-,1,,,,,
BMP 28:3;O,,,C34H61O11P,,,,,,,,677.4024263,M+H,+,1,,,,,,,699.3843678,M+Na,+,1,,,,,,,694.4289728,M+NH4,+,1,,,,,,,675.3878733,M-H,-,1,,,,,
BMP 28:4,,,C34H59O10P,,,,,,,,659.3918616,M+H,+,1,,,,,,,681.3738031,M+Na,+,1,,,,,,,676.4184081,M+NH4,+,1,,,,,,,657.3773086,M-H,-,1,,,,,
BMP 28:4;O,,,C34H59O11P,,,,,,,,675.3867762,M+H,+,1,,,,,,,697.3687177,M+Na,+,1,,,,,,,692.4133227,M+NH4,+,1,,,,,,,673.3722233,M-H,-,1,,,,,
BMP 28:5,,,C34H57O10P,,,,,,,,657.3762115,M+H,+,1,,,,,,,679.358153,M+Na,+,1,,,,,,,674.402758,M+NH4,+,1,,,,,,,655.3616586,M-H,-,1,,,,,
BMP 28:5;O,,,C34H57O11P,,,,,,,,673.3711261,M+H,+,1,,,,,,,695.3530677,M+Na,+,1,,,,,,,690.3976727,M+NH4,+,1,,,,,,,671.3565732,M-H,-,1,,,,,
BMP 28:6,,,C34H55O10P,,,,,,,,655.3605614,M+H,+,1,,,,,,,677.342503,M+Na,+,1,,,,,,,672.387108,M+NH4,+,1,,,,,,,653.3460085,M-H,-,1,,,,,
BMP 28:6;O,,,C34H55O11P,,,,,,,,671.3554761,M+H,+,1,,,,,,,693.3374176,M+Na,+,1,,,,,,,688.3820226,M+NH4,+,1,,,,,,,669.3409231,M-H,-,1,,,,,
BMP 28:7,,,C34H53O10P,,,,,,,,653.3449114,M+H,+,1,,,,,,,675.3268529,M+Na,+,1,,,,,,,670.3714579,M+NH4,+,1,,,,,,,651.3303584,M-H,-,1,,,,,
BMP 28:7;O,,,C34H53O11P,,,,,,,,669.339826,M+H,+,1,,,,,,,691.3217675,M+Na,+,1,,,,,,,686.3663725,M+NH4,+,1,,,,,,,667.3252731,M-H,-,1,,,,,
BMP 30:0,,,C36H71O10P,,,,,,,,695.485762,M+H,+,1,,,,,,,717.4677035,M+Na,+,1,,,,,,,712.5123085,M+NH4,+,1,,,,,,,693.471209,M-H,-,1,,,,,
BMP 30:0;O,,,C36H71O11P,,,,,,,,711.4806766,M+H,+,1,,,,,,,733.4626181,M+Na,+,1,,,,,,,728.5072231,M+NH4,+,1,,,,,,,709.4661236,M-H,-,1,,,,,
BMP 30:1,,,C36H69O10P,,,,,,,,693.4701119,M+H,+,1,,,,,,,715.4520534,M+Na,+,1,,,,,,,710.4966584,M+NH4,+,1,,,,,,,691.455559,M-H,-,1,,,,,
BMP 30:1;O,,,C36H69O11P,,,,,,,,709.4650265,M+H,+,1,,,,,,,731.446968,M+Na,+,1,,,,,,,726.491573,M+NH4,+,1,,,,,,,707.4504736,M-H,-,1,,,,,
BMP 30:2,,,C36H67O10P,,,,,,,,691.4544618,M+H,+,1,,,,,,,713.4364034,M+Na,+,1,,,,,,,708.4810084,M+NH4,+,1,,,,,,,689.4399089,M-H,-,1,,,,,
BMP 30:2;O,,,C36H67O11P,,,,,,,,707.4493764,M+H,+,1,,,,,,,729.431318,M+Na,+,1,,,,,,,724.475923,M+NH4,+,1,,,,,,,705.4348235,M-H,-,1,,,,,
BMP 30:3,,,C36H65O10P,,,,,,,,689.4388118,M+H,+,1,,,,,,,711.4207533,M+Na,+,1,,,,,,,706.4653583,M+NH4,+,1,,,,,,,687.4242588,M-H,-,1,,,,,
BMP 30:3;O,,,C36H65O11P,,,,,,,,705.4337264,M+H,+,1,,,,,,,727.4156679,M+Na,+,1,,,,,,,722.4602729,M+NH4,+,1,,,,,,,703.4191734,M-H,-,1,,,,,
BMP 30:4,,,C36H63O10P,,,,,,,,687.4231617,M+H,+,1,,,,,,,709.4051032,M+Na,+,1,,,,,,,704.4497082,M+NH4,+,1,,,,,,,685.4086088,M-H,-,1,,,,,
BMP 30:4;O,,,C36H63O11P,,,,,,,,703.4180763,M+H,+,1,,,,,,,725.4000178,M+Na,+,1,,,,,,,720.4446228,M+NH4,+,1,,,,,,,701.4035234,M-H,-,1,,,,,
BMP 30:5,,,C36H61O10P,,,,,,,,685.4075116,M+H,+,1,,,,,,,707.3894532,M+Na,+,1,,,,,,,702.4340582,M+NH4,+,1,,,,,,,683.3929587,M-H,-,1,,,,,
BMP 30:5;O,,,C36H61O11P,,,,,,,,701.4024263,M+H,+,1,,,,,,,723.3843678,M+Na,+,1,,,,,,,718.4289728,M+NH4,+,1,,,,,,,699.3878733,M-H,-,1,,,,,
BMP 30:6,,,C36H59O10P,,,,,,,,683.3918616,M+H,+,1,,,,,,,705.3738031,M+Na,+,1,,,,,,,700.4184081,M+NH4,+,1,,,,,,,681.3773086,M-H,-,1,,,,,
BMP 30:6;O,,,C36H59O11P,,,,,,,,699.3867762,M+H,+,1,,,,,,,721.3687177,M+Na,+,1,,,,,,,716.4133227,M+NH4,+,1,,,,,,,697.3722233,M-H,-,1,,,,,
BMP 30:7,,,C36H57O10P,,,,,,,,681.3762115,M+H,+,1,,,,,,,703.358153,M+Na,+,1,,,,,,,698.402758,M+NH4,+,1,,,,,,,679.3616586,M-H,-,1,,,,,
BMP 30:7;O,,,C36H57O11P,,,,,,,,697.3711261,M+H,+,1,,,,,,,719.3530677,M+Na,+,1,,,,,,,714.3976727,M+NH4,+,1,,,,,,,695.3565732,M-H,-,1,,,,,
BMP 32:0,,,C38H75O10P,,,,,,,,723.5170621,M+H,+,1,,,,,,,745.4990036,M+Na,+,1,,,,,,,740.5436086,M+NH4,+,1,,,,,,,721.5025091,M-H,-,1,,,,,
BMP 32:0;O,,,C38H75O11P,,,,,,,,739.5119767,M+H,+,1,,,,,,,761.4939182,M+Na,+,1,,,,,,,756.5385232,M+NH4,+,1,,,,,,,737.4974238,M-H,-,1,,,,,
BMP 32:1,,,C38H73O10P,,,,,,,,721.501412,M+H,+,1,,,,,,,743.4833536,M+Na,+,1,,,,,,,738.5279586,M+NH4,+,1,,,,,,,719.4868591,M-H,-,1,,,,,
BMP 32:1;O,,,C38H73O11P,,,,,,,,737.4963266,M+H,+,1,,,,,,,759.4782682,M+Na,+,1,,,,,,,754.5228732,M+NH4,+,1,,,,,,,735.4817737,M-H,-,1,,,,,
BMP 32:2,,,C38H71O10P,,,,,,,,719.485762,M+H,+,1,,,,,,,741.4677035,M+Na,+,1,,,,,,,736.5123085,M+NH4,+,1,,,,,,,717.471209,M-H,-,1,,,,,
BMP 32:2;O,,,C38H71O11P,,,,,,,,735.4806766,M+H,+,1,,,,,,,757.4626181,M+Na,+,1,,,,,,,752.5072231,M+NH4,+,1,,,,,,,733.4661236,M-H,-,1,,,,,
BMP 32:3,,,C38H69O10P,,,,,,,,717.4701119,M+H,+,1,,,,,,,739.4520534,M+Na,+,1,,,,,,,734.4966584,M+NH4,+,1,,,,,,,715.455559,M-H,-,1,,,,,
BMP 32:3;O,,,C38H69O11P,,,,,,,,733.4650265,M+H,+,1,,,,,,,755.446968,M+Na,+,1,,,,,,,750.491573,M+NH4,+,1,,,,,,,731.4504736,M-H,-,1,,,,,
BMP 32:4,,,C38H67O10P,,,,,,,,715.4544618,M+H,+,1,,,,,,,737.4364034,M+Na,+,1,,,,,,,732.4810084,M+NH4,+,1,,,,,,,713.4399089,M-H,-,1,,,,,
BMP 32:4;O,,,C38H67O11P,,,,,,,,731.4493764,M+H,+,1,,,,,,,753.431318,M+Na,+,1,,,,,,,748.475923,M+NH4,+,1,,,,,,,729.4348235,M-H,-,1,,,,,
BMP 32:5,,,C38H65O10P,,,,,,,,713.4388118,M+H,+,1,,,,,,,735.4207533,M+Na,+,1,,,,,,,730.4653583,M+NH4,+,1,,,,,,,711.4242588,M-H,-,1,,,,,
BMP 32:5;O,,,C38H65O11P,,,,,,,,729.4337264,M+H,+,1,,,,,,,751.4156679,M+Na,+,1,,,,,,,746.4602729,M+NH4,+,1,,,,,,,727.4191734,M-H,-,1,,,,,
BMP 32:6,,,C38H63O10P,,,,,,,,711.4231617,M+H,+,1,,,,,,,733.4051032,M+Na,+,1,,,,,,,728.4497082,M+NH4,+,1,,,,,,,709.4086088,M-H,-,1,,,,,
BMP 32:6;O,,,C38H63O11P,,,,,,,,727.4180763,M+H,+,1,,,,,,,749.4000178,M+Na,+,1,,,,,,,744.4446228,M+NH4,+,1,,,,,,,725.4035234,M-H,-,1,,,,,
BMP 32:7,,,C38H61O10P,,,,,,,,709.4075116,M+H,+,1,,,,,,,731.3894532,M+Na,+,1,,,,,,,726.4340582,M+NH4,+,1,,,,,,,707.3929587,M-H,-,1,,,,,
BMP 32:7;O,,,C38H61O11P,,,,,,,,725.4024263,M+H,+,1,,,,,,,747.3843678,M+Na,+,1,,,,,,,742.4289728,M+NH4,+,1,,,,,,,723.3878733,M-H,-,1,,,,,
BMP 34:0,,,C40H79O10P,,,,,,,,751.5483622,M+H,+,1,,,,,,,773.5303037,M+Na,+,1,,,,,,,768.5749087,M+NH4,+,1,,,,,,,749.5338093,M-H,-,1,,,,,
BMP 34:0;O,,,C40H79O11P,,,,,,,,767.5432768,M+H,+,1,,,,,,,789.5252184,M+Na,+,1,,,,,,,784.5698234,M+NH4,+,1,,,,,,,765.5287239,M-H,-,1,,,,,
BMP 34:1,,,C40H77O10P,,,,,,,,749.5327121,M+H,+,1,,,,,,,771.5146537,M+Na,+,1,,,,,,,766.5592587,M+NH4,+,1,,,,,,,747.5181592,M-H,-,1,,,,,
BMP 34:1;O,,,C40H77O11P,,,,,,,,765.5276268,M+H,+,1,,,,,,,787.5095683,M+Na,+,1,,,,,,,782.5541733,M+NH4,+,1,,,,,,,763.5130738,M-H,-,1,,,,,
BMP 34:2,,,C40H75O10P,,,,,,,,747.5170621,M+H,+,1,,,,,,,769.4990036,M+Na,+,1,,,,,,,764.5436086,M+NH4,+,1,,,,,,,745.5025091,M-H,-,1,,,,,
BMP 34:2;O,,,C40H75O11P,,,,,,,,763.5119767,M+H,+,1,,,,,,,785.4939182,M+Na,+,1,,,,,,,780.5385232,M+NH4,+,1,,,,,,,761.4974238,M-H,-,1,,,,,
BMP 34:3,,,C40H73O10P,,,,,,,,745.501412,M+H,+,1,,,,,,,767.4833536,M+Na,+,1,,,,,,,762.5279586,M+NH4,+,1,,,,,,,743.4868591,M-H,-,1,,,,,
BMP 34:3;O,,,C40H73O11P,,,,,,,,761.4963266,M+H,+,1,,,,,,,783.4782682,M+Na,+,1,,,,,,,778.5228732,M+NH4,+,1,,,,,,,759.4817737,M-H,-,1,,,,,
BMP 34:4,,,C40H71O10P,,,,,,,,743.485762,M+H,+,1,,,,,,,765.4677035,M+Na,+,1,,,,,,,760.5123085,M+NH4,+,1,,,,,,,741.471209,M-H,-,1,,,,,
BMP 34:4;O,,,C40H71O11P,,,,,,,,759.4806766,M+H,+,1,,,,,,,781.4626181,M+Na,+,1,,,,,,,776.5072231,M+NH4,+,1,,,,,,,757.4661236,M-H,-,1,,,,,
BMP 34:5,,,C40H69O10P,,,,,,,,741.4701119,M+H,+,1,,,,,,,763.4520534,M+Na,+,1,,,,,,,758.4966584,M+NH4,+,1,,,,,,,739.455559,M-H,-,1,,,,,
BMP 34:5;O,,,C40H69O11P,,,,,,,,757.4650265,M+H,+,1,,,,,,,779.446968,M+Na,+,1,,,,,,,774.491573,M+NH4,+,1,,,,,,,755.4504736,M-H,-,1,,,,,
BMP 34:6,,,C40H67O10P,,,,,,,,739.4544618,M+H,+,1,,,,,,,761.4364034,M+Na,+,1,,,,,,,756.4810084,M+NH4,+,1,,,,,,,737.4399089,M-H,-,1,,,,,
BMP 34:6;O,,,C40H67O11P,,,,,,,,755.4493764,M+H,+,1,,,,,,,777.431318,M+Na,+,1,,,,,,,772.475923,M+NH4,+,1,,,,,,,753.4348235,M-H,-,1,,,,,
BMP 34:7,,,C40H65O10P,,,,,,,,737.4388118,M+H,+,1,,,,,,,759.4207533,M+Na,+,1,,,,,,,754.4653583,M+NH4,+,1,,,,,,,735.4242588,M-H,-,1,,,,,
BMP 34:7;O,,,C40H65O11P,,,,,,,,753.4337264,M+H,+,1,,,,,,,775.4156679,M+Na,+,1,,,,,,,770.4602729,M+NH4,+,1,,,,,,,751.4191734,M-H,-,1,,,,,
CAR 10:0,,,C17H33NO4,,,,,,,,316.248235,M+H,+,1,,,,,,,338.2301766,M+Na,+,1,,,,,,,333.2747816,M+NH4,+,1,,,,,,,314.2336821,M-H,-,1,,,,,
CAR 10:0;O,,,C17H33NO5,,,,,,,,332.2431496,M+H,+,1,,,,,,,354.2250912,M+Na,+,1,,,,,,,349.2696962,M+NH4,+,1,,,,,,,330.2285967,M-H,-,1,,,,,
CAR 10:0;O2,,,C17H33NO6,,,,,,,,348.2380643,M+H,+,1,,,,,,,370.2200058,M+Na,+,1,,,,,,,365.2646108,M+NH4,+,1,,,,,,,346.2235113,M-H,-,1,,,,,
CAR 10:0;O3,,,C17H33NO7,,,,,,,,364.2329789,M+H,+,1,,,,,,,386.2149204,M+Na,+,1,,,,,,,381.2595254,M+NH4,+,1,,,,,,,362.2184259,M-H,-,1,,,,,
CAR 10:0;O4,,,C17H33NO8,,,,,,,,380.2278935,M+H,+,1,,,,,,,402.209835,M+Na,+,1,,,,,,,397.25444,M+NH4,+,1,,,,,,,378.2133406,M-H,-,1,,,,,
CAR 10:1,,,C17H31NO4,,,,,,,,314.232585,M+H,+,1,,,,,,,336.2145265,M+Na,+,1,,,,,,,331.2591315,M+NH4,+,1,,,,,,,312.218032,M-H,-,1,,,,,
CAR 10:1;O,,,C17H31NO5,,,,,,,,330.2274996,M+H,+,1,,,,,,,352.2094411,M+Na,+,1,,,,,,,347.2540461,M+NH4,+,1,,,,,,,328.2129466,M-H,-,1,,,,,
CAR 10:1;O2,,,C17H31NO6,,,,,,,,346.2224142,M+H,+,1,,,,,,,368.2043557,M+Na,+,1,,,,,,,363.2489607,M+NH4,+,1,,,,,,,344.2078613,M-H,-,1,,,,,
CAR 10:1;O3,,,C17H31NO7,,,,,,,,362.2173288,M+H,+,1,,,,,,,384.1992703,M+Na,+,1,,,,,,,379.2438753,M+NH4,+,1,,,,,,,360.2027759,M-H,-,1,,,,,
CAR 10:1;O4,,,C17H31NO8,,,,,,,,378.2122434,M+H,+,1,,,,,,,400.194185,M+Na,+,1,,,,,,,395.23879,M+NH4,+,1,,,,,,,376.1976905,M-H,-,1,,,,,
CAR 10:2,,,C17H29NO4,,,,,,,,312.2169349,M+H,+,1,,,,,,,334.1988764,M+Na,+,1,,,,,,,329.2434814,M+NH4,+,1,,,,,,,310.202382,M-H,-,1,,,,,
CAR 10:2;O,,,C17H29NO5,,,,,,,,328.2118495,M+H,+,1,,,,,,,350.193791,M+Na,+,1,,,,,,,345.238396,M+NH4,+,1,,,,,,,326.1972966,M-H,-,1,,,,,
CAR 10:2;O2,,,C17H29NO6,,,,,,,,344.2067641,M+H,+,1,,,,,,,366.1887057,M+Na,+,1,,,,,,,361.2333107,M+NH4,+,1,,,,,,,342.1922112,M-H,-,1,,,,,
CAR 10:2;O3,,,C17H29NO7,,,,,,,,360.2016787,M+H,+,1,,,,,,,382.1836203,M+Na,+,1,,,,,,,377.2282253,M+NH4,+,1,,,,,,,358.1871258,M-H,-,1,,,,,
CAR 10:2;O4,,,C17H29NO8,,,,,,,,376.1965934,M+H,+,1,,,,,,,398.1785349,M+Na,+,1,,,,,,,393.2231399,M+NH4,+,1,,,,,,,374.1820404,M-H,-,1,,,,,
CAR 12:0,,,C19H37NO4,,,,,,,,344.2795351,M+H,+,1,,,,,,,366.2614767,M+Na,+,1,,,,,,,361.3060817,M+NH4,+,1,,,,,,,342.2649822,M-H,-,1,,,,,
CAR 12:0;O,,,C19H37NO5,,,,,,,,360.2744498,M+H,+,1,,,,,,,382.2563913,M+Na,+,1,,,,,,,377.3009963,M+NH4,+,1,,,,,,,358.2598968,M-H,-,1,,,,,
CAR 12:0;O2,,,C19H37NO6,,,,,,,,376.2693644,M+H,+,1,,,,,,,398.2513059,M+Na,+,1,,,,,,,393.2959109,M+NH4,+,1,,,,,,,374.2548115,M-H,-,1,,,,,
CAR 12:0;O3,,,C19H37NO7,,,,,,,,392.264279,M+H,+,1,,,,,,,414.2462205,M+Na,+,1,,,,,,,409.2908255,M+NH4,+,1,,,,,,,390.2497261,M-H,-,1,,,,,
CAR 12:0;O4,,,C19H37NO8,,,,,,,,408.2591936,M+H,+,1,,,,,,,430.2411352,M+Na,+,1,,,,,,,425.2857402,M+NH4,+,1,,,,,,,406.2446407,M-H,-,1,,,,,
CAR 12:1,,,C19H35NO4,,,,,,,,342.2638851,M+H,+,1,,,,,,,364.2458266,M+Na,+,1,,,,,,,359.2904316,M+NH4,+,1,,,,,,,340.2493321,M-H,-,1,,,,,
CAR 12:1;O,,,C19H35NO5,,,,,,,,358.2587997,M+H,+,1,,,,,,,380.2407412,M+Na,+,1,,,,,,,375.2853462,M+NH4,+,1,,,,,,,356.2442468,M-H,-,1,,,,,
CAR 12:1;O2,,,C19H35NO6,,,,,,,,374.2537143,M+H,+,1,,,,,,,396.2356559,M+Na,+,1,,,,,,,391.2802609,M+NH4,+,1,,,,,,,372.2391614,M-H,-,1,,,,,
CAR 12:1;O3,,,C19H35NO7,,,,,,,,390.2486289,M+H,+,1,,,,,,,412.2305705,M+Na,+,1,,,,,,,407.2751755,M+NH4,+,1,,,,,,,388.234076,M-H,-,1,,,,,
CAR 12:1;O4,,,C19H35NO8,,,,,,,,406.2435436,M+H,+,1,,,,,,,428.2254851,M+Na,+,1,,,,,,,423.2700901,M+NH4,+,1,,,,,,,404.2289906,M-H,-,1,,,,,
CAR 12:2,,,C19H33NO4,,,,,,,,340.248235,M+H,+,1,,,,,,,362.2301766,M+Na,+,1,,,,,,,357.2747816,M+NH4,+,1,,,,,,,338.2336821,M-H,-,1,,,,,
CAR 12:2;O,,,C19H33NO5,,,,,,,,356.2431496,M+H,+,1,,,,,,,378.2250912,M+Na,+,1,,,,,,,373.2696962,M+NH4,+,1,,,,,,,354.2285967,M-H,-,1,,,,,
CAR 12:2;O2,,,C19H33NO6,,,,,,,,372.2380643,M+H,+,1,,,,,,,394.2200058,M+Na,+,1,,,,,,,389.2646108,M+NH4,+,1,,,,,,,370.2235113,M-H,-,1,,,,,
CAR 12:2;O3,,,C19H33NO7,,,,,,,,388.2329789,M+H,+,1,,,,,,,410.2149204,M+Na,+,1,,,,,,,405.2595254,M+NH4,+,1,,,,,,,386.2184259,M-H,-,1,,,,,
CAR 12:2;O4,,,C19H33NO8,,,,,,,,404.2278935,M+H,+,1,,,,,,,426.209835,M+Na,+,1,,,,,,,421.25444,M+NH4,+,1,,,,,,,402.2133406,M-H,-,1,,,,,
CAR 12:3,,,C19H31NO4,,,,,,,,338.232585,M+H,+,1,,,,,,,360.2145265,M+Na,+,1,,,,,,,355.2591315,M+NH4,+,1,,,,,,,336.218032,M-H,-,1,,,,,
CAR 12:3;O,,,C19H31NO5,,,,,,,,354.2274996,M+H,+,1,,,,,,,376.2094411,M+Na,+,1,,,,,,,371.2540461,M+NH4,+,1,,,,,,,352.2129466,M-H,-,1,,,,,
CAR 12:3;O2,,,C19H31NO6,,,,,,,,370.2224142,M+H,+,1,,,,,,,392.2043557,M+Na,+,1,,,,,,,387.2489607,M+NH4,+,1,,,,,,,368.2078613,M-H,-,1,,,,,
CAR 12:3;O3,,,C19H31NO7,,,,,,,,386.2173288,M+H,+,1,,,,,,,408.1992703,M+Na,+,1,,,,,,,403.2438753,M+NH4,+,1,,,,,,,384.2027759,M-H,-,1,,,,,
CAR 12:3;O4,,,C19H31NO8,,,,,,,,402.2122434,M+H,+,1,,,,,,,424.194185,M+Na,+,1,,,,,,,419.23879,M+NH4,+,1,,,,,,,400.1976905,M-H,-,1,,,,,
CAR 14:0,,,C21H41NO4,,,,,,,,372.3108353,M+H,+,1,,,,,,,394.2927768,M+Na,+,1,,,,,,,389.3373818,M+NH4,+,1,,,,,,,370.2962823,M-H,-,1,,,,,
CAR 14:0;O,,,C21H41NO5,,,,,,,,388.3057499,M+H,+,1,,,,,,,410.2876914,M+Na,+,1,,,,,,,405.3322964,M+NH4,+,1,,,,,,,386.291197,M-H,-,1,,,,,
CAR 14:0;O2,,,C21H41NO6,,,,,,,,404.3006645,M+H,+,1,,,,,,,426.282606,M+Na,+,1,,,,,,,421.327211,M+NH4,+,1,,,,,,,402.2861116,M-H,-,1,,,,,
CAR 14:0;O3,,,C21H41NO7,,,,,,,,420.2955791,M+H,+,1,,,,,,,442.2775207,M+Na,+,1,,,,,,,437.3221257,M+NH4,+,1,,,,,,,418.2810262,M-H,-,1,,,,,
CAR 14:0;O4,,,C21H41NO8,,,,,,,,436.2904938,M+H,+,1,,,,,,,458.2724353,M+Na,+,1,,,,,,,453.3170403,M+NH4,+,1,,,,,,,434.2759408,M-H,-,1,,,,,
CAR 14:1,,,C21H39NO4,,,,,,,,370.2951852,M+H,+,1,,,,,,,392.2771267,M+Na,+,1,,,,,,,387.3217317,M+NH4,+,1,,,,,,,368.2806323,M-H,-,1,,,,,
CAR 14:1;O,,,C21H39NO5,,,,,,,,386.2900998,M+H,+,1,,,,,,,408.2720414,M+Na,+,1,,,,,,,403.3166464,M+NH4,+,1,,,,,,,384.2755469,M-H,-,1,,,,,
CAR 14:1;O2,,,C21H39NO6,,,,,,,,402.2850145,M+H,+,1,,,,,,,424.266956,M+Na,+,1,,,,,,,419.311561,M+NH4,+,1,,,,,,,400.2704615,M-H,-,1,,,,,
CAR 14:1;O3,,,C21H39NO7,,,,,,,,418.2799291,M+H,+,1,,,,,,,440.2618706,M+Na,+,1,,,,,,,435.3064756,M+NH4,+,1,,,,,,,416.2653761,M-H,-,1,,,,,
CAR 14:1;O4,,,C21H39NO8,,,,,,,,434.2748437,M+H,+,1,,,,,,,456.2567852,M+Na,+,1,,,,,,,451.3013902,M+NH4,+,1,,,,,,,432.2602908,M-H,-,1,,,,,
CAR 14:2,,,C21H37NO4,,,,,,,,368.2795351,M+H,+,1,,,,,,,390.2614767,M+Na,+,1,,,,,,,385.3060817,M+NH4,+,1,,,,,,,366.2649822,M-H,-,1,,,,,
CAR 14:2;O,,,C21H37NO5,,,,,,,,384.2744498,M+H,+,1,,,,,,,406.2563913,M+Na,+,1,,,,,,,401.3009963,M+NH4,+,1,,,,,,,382.2598968,M-H,-,1,,,,,
CAR 14:2;O2,,,C21H37NO6,,,,,,,,400.2693644,M+H,+,1,,,,,,,422.2513059,M+Na,+,1,,,,,,,417.2959109,M+NH4,+,1,,,,,,,398.2548115,M-H,-,1,,,,,
CAR 14:2;O3,,,C21H37NO7,,,,,,,,416.264279,M+H,+,1,,,,,,,438.2462205,M+Na,+,1,,,,,,,433.2908255,M+NH4,+,1,,,,,,,414.2497261,M-H,-,1,,,,,
CAR 14:2;O4,,,C21H37NO8,,,,,,,,432.2591936,M+H,+,1,,,,,,,454.2411352,M+Na,+,1,,,,,,,449.2857402,M+NH4,+,1,,,,,,,430.2446407,M-H,-,1,,,,,
CAR 14:3,,,C21H35NO4,,,,,,,,366.2638851,M+H,+,1,,,,,,,388.2458266,M+Na,+,1,,,,,,,383.2904316,M+NH4,+,1,,,,,,,364.2493321,M-H,-,1,,,,,
CAR 14:3;O,,,C21H35NO5,,,,,,,,382.2587997,M+H,+,1,,,,,,,404.2407412,M+Na,+,1,,,,,,,399.2853462,M+NH4,+,1,,,,,,,380.2442468,M-H,-,1,,,,,
CAR 14:3;O2,,,C21H35NO6,,,,,,,,398.2537143,M+H,+,1,,,,,,,420.2356559,M+Na,+,1,,,,,,,415.2802609,M+NH4,+,1,,,,,,,396.2391614,M-H,-,1,,,,,
